12/09/2021-16:01:39.950452  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} 2001:0002:0000:0000:0000:0000:0000:0020:135 -> ff02:0000:0000:0000:0000:0001:ff00:0001:0
12/09/2021-16:01:41.952831  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50562 -> 10.0.2.20:80
12/09/2021-16:01:41.952831  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50562 -> 10.0.2.20:80
12/09/2021-16:01:45.958063  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50568 -> 10.0.2.20:80
12/09/2021-16:01:45.958063  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50568 -> 10.0.2.20:80
12/09/2021-16:01:45.066544  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:8414:0cff:fe25:33d2:135 -> 2001:0002:0000:0000:0000:0000:0000:0020:0
12/09/2021-16:01:45.066590  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} 2001:0002:0000:0000:0000:0000:0000:0020:136 -> fe80:0000:0000:0000:8414:0cff:fe25:33d2:0
12/09/2021-16:01:47.839891  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:d0e6:a7ff:feab:edb6:133 -> ff02:0000:0000:0000:0000:0000:0000:0002:0
12/09/2021-16:01:39.950470  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} 2001:0002:0000:0000:0000:0000:0000:0001:136 -> 2001:0002:0000:0000:0000:0000:0000:0020:0
12/09/2021-16:01:57.973931  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50582 -> 10.0.2.20:80
12/09/2021-16:01:57.973931  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50582 -> 10.0.2.20:80
