12/09/2021-16:12:48.347187  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} 2001:0004:0000:0000:0000:0000:0000:0001:136 -> 2001:0004:0000:0000:0000:0000:0000:0020:0
12/09/2021-16:12:48.347274  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} 2001:0004:0000:0000:0000:0000:0000:0001:136 -> fe80:0000:0000:0000:b85a:d8ff:fe66:2cdf:0
12/09/2021-16:12:48.347170  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} 2001:0004:0000:0000:0000:0000:0000:0020:135 -> ff02:0000:0000:0000:0000:0001:ff00:0001:0
12/09/2021-16:12:48.347269  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:b85a:d8ff:fe66:2cdf:135 -> ff02:0000:0000:0000:0000:0001:ff00:0001:0
12/09/2021-16:12:50.579929  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56140 -> 10.0.4.20:80
12/09/2021-16:12:52.793228  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56142 -> 10.0.4.20:80
12/09/2021-16:12:55.006552  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56144 -> 10.0.4.20:80
12/09/2021-16:12:53.440011  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:fc23:3fff:fee1:ab56:135 -> 2001:0004:0000:0000:0000:0000:0000:0020:0
12/09/2021-16:12:53.440209  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} 2001:0004:0000:0000:0000:0000:0000:0020:136 -> fe80:0000:0000:0000:fc23:3fff:fee1:ab56:0
12/09/2021-16:12:57.219871  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56146 -> 10.0.4.20:80
12/09/2021-16:13:08.289849  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56158 -> 10.0.4.20:80
12/09/2021-16:12:59.433253  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56148 -> 10.0.4.20:80
12/09/2021-16:13:03.859934  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56154 -> 10.0.4.20:80
12/09/2021-16:12:53.439958  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:fc23:3fff:fee1:ab56:135 -> fe80:0000:0000:0000:b85a:d8ff:fe66:2cdf:0
12/09/2021-16:13:01.646472  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56152 -> 10.0.4.20:80
12/09/2021-16:12:53.440205  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:b85a:d8ff:fe66:2cdf:136 -> fe80:0000:0000:0000:fc23:3fff:fee1:ab56:0
12/09/2021-16:12:58.559823  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:b85a:d8ff:fe66:2cdf:135 -> fe80:0000:0000:0000:fc23:3fff:fee1:ab56:0
12/09/2021-16:12:58.559837  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:fc23:3fff:fee1:ab56:136 -> fe80:0000:0000:0000:b85a:d8ff:fe66:2cdf:0
12/09/2021-16:13:14.929905  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56164 -> 10.0.4.20:80
12/09/2021-16:13:12.713261  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56162 -> 10.0.4.20:80
12/09/2021-16:13:06.073169  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56156 -> 10.0.4.20:80
12/09/2021-16:13:10.499846  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56160 -> 10.0.4.20:80
12/09/2021-16:13:19.363257  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56168 -> 10.0.4.20:80
12/09/2021-16:13:19.043103  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:8857:73ff:fe9b:3bf7:133 -> ff02:0000:0000:0000:0000:0000:0000:0002:0
12/09/2021-16:13:17.143251  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56166 -> 10.0.4.20:80
12/09/2021-16:13:23.789842  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56172 -> 10.0.4.20:80
12/09/2021-16:13:21.576513  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56170 -> 10.0.4.20:80
12/09/2021-16:13:30.439911  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56178 -> 10.0.4.20:80
12/09/2021-16:13:28.216562  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56176 -> 10.0.4.20:80
12/09/2021-16:13:26.003193  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56174 -> 10.0.4.20:80
12/09/2021-16:13:42.933211  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:b85a:d8ff:fe66:2cdf:133 -> ff02:0000:0000:0000:0000:0000:0000:0002:0
12/09/2021-16:13:32.653171  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56180 -> 10.0.4.20:80
12/09/2021-16:13:43.726509  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56190 -> 10.0.4.20:80
12/09/2021-16:13:31.199890  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:b85a:d8ff:fe66:2cdf:135 -> 2001:0004:0000:0000:0000:0000:0000:0001:0
12/09/2021-16:13:31.199911  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} 2001:0004:0000:0000:0000:0000:0000:0001:136 -> fe80:0000:0000:0000:b85a:d8ff:fe66:2cdf:0
12/09/2021-16:13:48.053129  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:4c84:5fff:fe16:2651:133 -> ff02:0000:0000:0000:0000:0000:0000:0002:0
12/09/2021-16:13:37.083244  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56184 -> 10.0.4.20:80
12/09/2021-16:14:08.106522  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56214 -> 10.0.4.20:80
12/09/2021-16:13:34.869827  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56182 -> 10.0.4.20:80
12/09/2021-16:14:10.326536  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56216 -> 10.0.4.20:80
12/09/2021-16:13:48.163253  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56194 -> 10.0.4.20:80
12/09/2021-16:14:12.539857  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56218 -> 10.0.4.20:80
12/09/2021-16:13:39.299882  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56186 -> 10.0.4.20:80
12/09/2021-16:14:14.753273  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56220 -> 10.0.4.20:80
12/09/2021-16:13:50.376557  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56196 -> 10.0.4.20:80
12/09/2021-16:13:41.513250  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56188 -> 10.0.4.20:80
12/09/2021-16:14:16.966503  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56222 -> 10.0.4.20:80
12/09/2021-16:14:19.183169  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56224 -> 10.0.4.20:80
12/09/2021-16:13:52.596483  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56198 -> 10.0.4.20:80
12/09/2021-16:13:45.943214  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56192 -> 10.0.4.20:80
12/09/2021-16:13:57.023161  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56202 -> 10.0.4.20:80
12/09/2021-16:14:21.393202  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56226 -> 10.0.4.20:80
12/09/2021-16:14:28.043250  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56232 -> 10.0.4.20:80
12/09/2021-16:13:54.806573  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56200 -> 10.0.4.20:80
12/09/2021-16:14:23.606546  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56228 -> 10.0.4.20:80
12/09/2021-16:13:59.243241  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56204 -> 10.0.4.20:80
12/09/2021-16:14:25.826483  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56230 -> 10.0.4.20:80
12/09/2021-16:14:39.119911  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56242 -> 10.0.4.20:80
12/09/2021-16:14:30.259847  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56234 -> 10.0.4.20:80
12/09/2021-16:14:01.459848  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56208 -> 10.0.4.20:80
12/09/2021-16:14:03.676554  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56210 -> 10.0.4.20:80
12/09/2021-16:14:34.693240  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56238 -> 10.0.4.20:80
12/09/2021-16:14:05.889865  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56212 -> 10.0.4.20:80
12/09/2021-16:15:03.486541  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56264 -> 10.0.4.20:80
12/09/2021-16:14:47.986508  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56250 -> 10.0.4.20:80
12/09/2021-16:14:43.556501  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56246 -> 10.0.4.20:80
