+---------------+-------+
|   Priority    | Count |
+---------------+-------+
| [Priority: 1] | 1145  |
| [Priority: 2] | 2941  |
| [Priority: 3] | 8616  |
+---------------+-------+

+-------------------------------------------------------------------------------------------------------+-------+
|                                                 Rules                                                 | Count |
+-------------------------------------------------------------------------------------------------------+-------+
|                             (http_inspect) not HTTP traffic [Priority: 3]                             | 6926  |
|                           (http_inspect) URI badly formatted [Priority: 3]                            |  880  |
|       SERVER-APACHE Apache mod_proxy reverse proxy information disclosure attempt [Priority: 2]       |  863  |
|                       POLICY-OTHER external admin access attempt [Priority: 2]                        |  522  |
|              SERVER-WEBAPP Multiple Products invalid HTTP request attempt [Priority: 2]               |  493  |
|           SERVER-OTHER Apple CUPS web interface cross site scripting attempt [Priority: 1]            |  294  |
|          POLICY-OTHER script tag in URI - likely cross-site scripting attempt [Priority: 1]           |  284  |
|        (ipv6) IPv6 header includes an invalid value for the 'next header' field [Priority: 3]         |  283  |
|                      SERVER-WEBAPP /etc/passwd file access attempt [Priority: 2]                      |  267  |
|                           (http_inspect) multi_slash encoding [Priority: 3]                           |  130  |
|                 SERVER-WEBAPP weblogic/tomcat .jsp view source attempt [Priority: 1]                  |  94   |
|                      OS-OTHER Cisco IOS HTTP configuration attempt [Priority: 1]                      |  94   |
|                           (http_inspect) directory traversal [Priority: 3]                            |  85   |
|                        (http_inspect) backslash used in URI path [Priority: 3]                        |  75   |
|                   SERVER-OTHER Microsoft Frontpage /_vti_bin/ access [Priority: 2]                    |  62   |
|                               SERVER-WEBAPP /doc/ access [Priority: 2]                                |  56   |
|                 SERVER-WEBAPP SAP servlet authentication bypass attempt [Priority: 1]                 |  45   |
|       SERVER-WEBAPP IOServer OPC Server directory traversal exploitation attempt [Priority: 1]        |  44   |
|                       (http_inspect) webroot directory traversal [Priority: 3]                        |  43   |
|                            SERVER-WEBAPP modules.php access [Priority: 2]                             |  36   |
|                      SERVER-OTHER Microsoft Frontpage .... request [Priority: 1]                      |  30   |
|                              SERVER-IIS iissamples access [Priority: 1]                               |  28   |
|                          (http_inspect) double decoding attack [Priority: 3]                          |  28   |
|                             SERVER-WEBAPP admin.php access [Priority: 2]                              |  26   |
|                              (http_inspect) ascii encoding [Priority: 3]                              |  25   |
|                                SERVER-IIS cmd.exe access [Priority: 1]                                |  24   |
|                              SERVER-WEBAPP calendar access [Priority: 2]                              |  23   |
|                 (http_inspect) POST or PUT w/o content-length or chunks [Priority: 3]                 |  23   |
|                       (http_inspect) format error in HTTP header [Priority: 3]                        |  20   |
|              (http_inspect) HTTP Content-Length message body was truncated [Priority: 3]              |  20   |
|                                SERVER-WEBAPP cat_ access [Priority: 2]                                |  19   |
|           SERVER-WEBAPP PHP includedir parameter remote file include attempt [Priority: 1]            |  18   |
|           OS-WINDOWS Microsoft generic javascript handler in URI XSS attempt [Priority: 1]            |  17   |
|                              SERVER-WEBAPP test.php access [Priority: 2]                              |  16   |
|                        (http_inspect) misformatted HTTP traffic [Priority: 3]                         |  15   |
|                  (http_inspect) illegal extra whitespace in start line [Priority: 3]                  |  14   |
|                               SERVER-WEBAPP /.... access [Priority: 2]                                |  14   |
|                  SERVER-WEBAPP triple dot directory traversal attempt [Priority: 1]                   |  13   |
|                       (http_inspect) unescaped space in HTTP URI [Priority: 3]                        |  13   |
|                              (http_inspect) UTF-8 encoding [Priority: 3]                              |  13   |
|                      SERVER-WEBAPP password sent via URL parameter [Priority: 1]                      |  11   |
|                                 SERVER-IIS .cnf access [Priority: 2]                                  |  11   |
|                           SERVER-IIS /scripts/samples/ access [Priority: 1]                           |  10   |
|                              SERVER-IIS ISAPI .idq access [Priority: 2]                               |  10   |
|                            SERVER-WEBAPP calendar.php access [Priority: 2]                            |   9   |
|                          INDICATOR-SCAN PHP info leak attempt [Priority: 2]                           |   9   |
|                      SERVER-WEBAPP mod-plsql administration access [Priority: 2]                      |   8   |
|                             SERVER-IIS viewcode.asp access [Priority: 2]                              |   8   |
|                               SERVER-WEBAPP backup access [Priority: 2]                               |   7   |
|   SERVER-WEBAPP Oracle 9i Application Server OWA_UTIL information disclosure attempt [Priority: 1]    |   7   |
|      SERVER-WEBAPP Apache Server mod_proxy Error Page cross site scripting attempt [Priority: 1]      |   7   |
|                                SERVER-IIS webhits access [Priority: 2]                                |   6   |
|                              SERVER-WEBAPP webcart access [Priority: 2]                               |   6   |
|                     FILE-IDENTIFY .htr access file download request [Priority: 3]                     |   6   |
|                          SERVER-WEBAPP Mambo upload.php access [Priority: 2]                          |   6   |
|                             SERVER-WEBAPP login.htm access [Priority: 2]                              |   6   |
|                               SERVER-IIS _mem_bin access [Priority: 2]                                |   6   |
