12/10/2021-13:08:45.561960  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:f8f9:36ff:fe3e:0404:133 -> ff02:0000:0000:0000:0000:0000:0000:0002:0
12/10/2021-13:09:00.007878  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36060 -> 10.0.2.20:80
12/10/2021-13:09:01.212188  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36066 -> 10.0.2.20:80
12/10/2021-13:09:02.014359  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36072 -> 10.0.2.20:80
12/10/2021-13:09:05.624040  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36090 -> 10.0.2.20:80
12/10/2021-13:09:06.426574  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36094 -> 10.0.2.20:80
12/10/2021-13:09:00.409572  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36062 -> 10.0.2.20:80
12/10/2021-13:09:00.810733  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36064 -> 10.0.2.20:80
12/10/2021-13:09:00.810733  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36064 -> 10.0.2.20:80
12/10/2021-13:08:59.606627  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36058 -> 10.0.2.20:80
12/10/2021-13:09:04.019323  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36082 -> 10.0.2.20:80
12/10/2021-13:09:02.415465  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36074 -> 10.0.2.20:80
12/10/2021-13:09:20.469233  [**] [1:2027250:4] ET INFO Dotted Quad Host DLL Request [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.0.0.20:36166 -> 10.0.2.20:80
12/10/2021-13:09:20.469233  [**] [1:2101288:12] GPL WEB_SERVER /_vti_bin/ access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:36166 -> 10.0.2.20:80
12/10/2021-13:09:03.217485  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36078 -> 10.0.2.20:80
12/10/2021-13:09:19.666592  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36162 -> 10.0.2.20:80
12/10/2021-13:09:22.876462  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:36178 -> 10.0.2.20:80
12/10/2021-13:09:26.085688  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36194 -> 10.0.2.20:80
12/10/2021-13:09:28.090907  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36204 -> 10.0.2.20:80
12/10/2021-13:09:28.090907  [**] [1:2101156:12] GPL WEB_SERVER apache directory disclosure attempt [**] [Classification: Attempted Denial of Service] [Priority: 2] {TCP} 10.0.0.20:36204 -> 10.0.2.20:80
12/10/2021-13:09:28.491941  [**] [1:2003595:6] ET POLICY exe download via HTTP - Informational [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.0.0.20:36206 -> 10.0.2.20:80
12/10/2021-13:09:28.491941  [**] [1:2100937:13] GPL WEB_SERVER _vti_rpc access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:36206 -> 10.0.2.20:80
12/10/2021-13:09:28.491941  [**] [1:2101288:12] GPL WEB_SERVER /_vti_bin/ access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:36206 -> 10.0.2.20:80
12/10/2021-13:09:27.288796  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36200 -> 10.0.2.20:80
12/10/2021-13:09:40.175199  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:64f6:61ff:fe42:2da8:133 -> ff02:0000:0000:0000:0000:0000:0000:0002:0
12/10/2021-13:09:42.135039  [**] [1:2027250:4] ET INFO Dotted Quad Host DLL Request [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.0.0.20:36280 -> 10.0.2.20:80
12/10/2021-13:09:42.135039  [**] [1:2100993:14] GPL WEB_SERVER iisadmin access [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:36280 -> 10.0.2.20:80
12/10/2021-13:09:40.175192  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:9c6f:8dff:feb9:5214:133 -> ff02:0000:0000:0000:0000:0000:0000:0002:0
12/10/2021-13:09:41.332466  [**] [1:2100993:14] GPL WEB_SERVER iisadmin access [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:36276 -> 10.0.2.20:80
12/10/2021-13:09:41.332466  [**] [1:2100987:17] GPL EXPLOIT .htr access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:36276 -> 10.0.2.20:80
12/10/2021-13:09:44.141997  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:36290 -> 10.0.2.20:80
12/10/2021-13:09:57.785486  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36360 -> 10.0.2.20:80
12/10/2021-13:09:58.587541  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36364 -> 10.0.2.20:80
12/10/2021-13:09:45.346351  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:36296 -> 10.0.2.20:80
12/10/2021-13:10:02.598167  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:36386 -> 10.0.2.20:80
