------------------------------------------------------------------------------------
Date: 12/10/2021 -- 14:00:23 (uptime: 0d, 00h 00m 47s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 98732
decoder.bytes                                 | Total                     | 10448514
decoder.ipv4                                  | Total                     | 98435
decoder.ipv6                                  | Total                     | 295
decoder.ethernet                              | Total                     | 98732
decoder.tcp                                   | Total                     | 97022
decoder.icmpv6                                | Total                     | 12
decoder.avg_pkt_size                          | Total                     | 105
decoder.max_pkt_size                          | Total                     | 1514
flow.tcp                                      | Total                     | 6927
flow.icmpv6                                   | Total                     | 12
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 68
decoder.event.ipv6.unknown_next_header        | Total                     | 283
flow.wrk.flows_evicted_needs_work             | Total                     | 6346
flow.wrk.flows_evicted_pkt_inject             | Total                     | 6366
flow.wrk.flows_evicted                        | Total                     | 333
flow.wrk.flows_injected                       | Total                     | 6049
tcp.sessions                                  | Total                     | 6927
tcp.syn                                       | Total                     | 6927
tcp.synack                                    | Total                     | 6927
tcp.rst                                       | Total                     | 47
detect.alert                                  | Total                     | 2475
app_layer.flow.http                           | Total                     | 6927
app_layer.tx.http                             | Total                     | 6927
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9700
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 7
flow.mgr.flows_notimeout                      | Total                     | 7
tcp.memuse                                    | Total                     | 2293760
tcp.reassembly_memuse                         | Total                     | 393216
flow.memuse                                   | Total                     | 7394304
