12/10/2021-15:20:05.929084  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} 2001:0004:0000:0000:0000:0000:0000:0020:135 -> ff02:0000:0000:0000:0000:0001:ff00:0001:0
12/10/2021-15:20:05.929182  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:b85a:d8ff:fe66:2cdf:135 -> ff02:0000:0000:0000:0000:0001:ff00:0001:0
12/10/2021-15:20:07.214586  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60254 -> 10.0.4.20:80
12/10/2021-15:20:05.929199  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} 2001:0004:0000:0000:0000:0000:0000:0001:136 -> fe80:0000:0000:0000:b85a:d8ff:fe66:2cdf:0
12/10/2021-15:20:06.367870  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60250 -> 10.0.4.20:80
12/10/2021-15:20:07.644514  [**] [1:2221010:1] SURICATA HTTP unable to match response to request [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.4.20:80 -> 10.0.0.20:60256
12/10/2021-15:20:13.927845  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60284 -> 10.0.4.20:80
12/10/2021-15:20:09.734554  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60266 -> 10.0.4.20:80
12/10/2021-15:20:16.231234  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60294 -> 10.0.4.20:80
12/10/2021-15:20:08.891167  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60262 -> 10.0.4.20:80
12/10/2021-15:20:05.929100  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} 2001:0004:0000:0000:0000:0000:0000:0001:136 -> 2001:0004:0000:0000:0000:0000:0000:0020:0
12/10/2021-15:20:10.584499  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60270 -> 10.0.4.20:80
