+---------------+-----------+--------------------+--------------------+
|  Priorities   | Baseline1 |     Baseline2      |   Test Scenario    |
+---------------+-----------+--------------------+--------------------+
| [Priority: 1] |   1145    |    1137 (-0.7%)    |    38 (-96.68%)    |
| [Priority: 2] |   2941    |   2931 (-0.34%)    |    50 (-98.3%)     |
| [Priority: 3] |   8616    | 205149 (+2281.02%) | 295580 (+3330.59%) |
+---------------+-----------+--------------------+--------------------+


+-------------------------------------------------------------------------------------------------------+-----------+---------------------+---------------------+
|                                                 Rules                                                 | Baseline1 |      Baseline2      |    Test Scenario    |
+-------------------------------------------------------------------------------------------------------+-----------+---------------------+---------------------+
|                             (arp_spoof) unicast ARP request [Priority: 3]                             |     0     |       0 (0%)        |      1 (+100%)      |
|                (http_inspect) 'HTTP' in version field not all upper case [Priority: 3]                |     0     |       0 (0%)        |      1 (+100%)      |
|              (http_inspect) HTTP Content-Length message body was truncated [Priority: 3]              |    20     |     0 (-100.0%)     |     0 (-100.0%)     |
|              (http_inspect) HTTP header line terminated by CR without a LF [Priority: 3]              |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                 (http_inspect) POST or PUT w/o content-length or chunks [Priority: 3]                 |    23     |      23 (0.0%)      |     0 (-100.0%)     |
|                           (http_inspect) URI badly formatted [Priority: 3]                            |    880    |     895 (+1.7%)     |     0 (-100.0%)     |
|                              (http_inspect) UTF-8 encoding [Priority: 3]                              |    13     |      13 (0.0%)      |     0 (-100.0%)     |
|                              (http_inspect) ascii encoding [Priority: 3]                              |    25     |      25 (0.0%)      |     3 (-88.0%)      |
|                        (http_inspect) backslash used in URI path [Priority: 3]                        |    75     |      75 (0.0%)      |     0 (-100.0%)     |
|                           (http_inspect) directory traversal [Priority: 3]                            |    85     |      85 (0.0%)      |     0 (-100.0%)     |
|                          (http_inspect) double decoding attack [Priority: 3]                          |    28     |      28 (0.0%)      |     0 (-100.0%)     |
|                       (http_inspect) format error in HTTP header [Priority: 3]                        |    20     |      20 (0.0%)      |     0 (-100.0%)     |
|                  (http_inspect) illegal extra whitespace in start line [Priority: 3]                  |    14     |      14 (0.0%)      |     0 (-100.0%)     |
|                        (http_inspect) misformatted HTTP traffic [Priority: 3]                         |    15     |      15 (0.0%)      |    17 (+13.33%)     |
|                           (http_inspect) multi_slash encoding [Priority: 3]                           |    130    |    129 (-0.77%)     |     0 (-100.0%)     |
|                             (http_inspect) not HTTP traffic [Priority: 3]                             |   6926    |    6938 (+0.17%)    |    6640 (-4.13%)    |
|                       (http_inspect) request message without URI [Priority: 3]                        |     0     |       0 (0%)        |      2 (+200%)      |
|                         (http_inspect) self directory traversal [Priority: 3]                         |     6     |      6 (0.0%)       |     5 (-16.67%)     |
|                  (http_inspect) server response before client request [Priority: 3]                   |     2     |      2 (0.0%)       |  6912 (+345500.0%)  |
|                              (http_inspect) simple request [Priority: 3]                              |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                       (http_inspect) unescaped space in HTTP URI [Priority: 3]                        |    13     |    45 (+246.15%)    |     0 (-100.0%)     |
|                              (http_inspect) unknown method [Priority: 3]                              |     2     |      2 (0.0%)       |     3 (+50.0%)      |
|               (http_inspect) unrecognized type of percent encoding in URI [Priority: 3]               |     4     |      4 (0.0%)       |     0 (-100.0%)     |
|                       (http_inspect) webroot directory traversal [Priority: 3]                        |    43     |      43 (0.0%)      |     0 (-100.0%)     |
|                  (http_inspect) white space before or between messages [Priority: 3]                  |     0     |      1 (+100%)      |      1 (+100%)      |
|                      (http_inspect) white space within header name [Priority: 3]                      |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|        (ipv6) IPv6 header includes an invalid value for the 'next header' field [Priority: 3]         |    283    |    280 (-1.06%)     |   1313 (+363.96%)   |
|                                (port_scan) TCP portscan [Priority: 3]                                 |     0     |     31 (+3100%)     |       0 (0%)        |
|                  (stream_tcp) TCP timestamp is outside of PAWS window [Priority: 3]                   |     0     |      6 (+600%)      |       0 (0%)        |
|                          (tcp) experimental TCP options found [Priority: 3]                           |     0     | 196168 (+19616800%) | 280682 (+28068200%) |
|              BROWSER-OTHER HTTP characters prior to header evasion attempt [Priority: 2]              |     5     |      5 (0.0%)       |      5 (0.0%)       |
|                     FILE-IDENTIFY .htr access file download request [Priority: 3]                     |     6     |      6 (0.0%)       |     0 (-100.0%)     |
|                 INDICATOR-COMPROMISE c99shell.php command request - cmd [Priority: 1]                 |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|         INDICATOR-OBFUSCATION select concat statement - possible sql injection [Priority: 1]          |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                          INDICATOR-SCAN PHP info leak attempt [Priority: 2]                           |     9     |      9 (0.0%)       |     0 (-100.0%)     |
|                 MALWARE-CNC Win.Trojan.Zbot variant outbound connection [Priority: 1]                 |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                      OS-OTHER Cisco IOS HTTP configuration attempt [Priority: 1]                      |    94     |     85 (-9.57%)     |     0 (-100.0%)     |
|           OS-WINDOWS Microsoft generic javascript handler in URI XSS attempt [Priority: 1]            |    17     |      17 (0.0%)      |     0 (-100.0%)     |
|              POLICY-OTHER Adobe ColdFusion admin interface access attempt [Priority: 1]               |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|             POLICY-OTHER Adobe ColdFusion component browser access attempt [Priority: 1]              |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                       POLICY-OTHER external admin access attempt [Priority: 2]                        |    522    |     522 (0.0%)      |     0 (-100.0%)     |
|          POLICY-OTHER script tag in URI - likely cross-site scripting attempt [Priority: 1]           |    284    |     284 (0.0%)      |     2 (-99.3%)      |
|                    PROTOCOL-ICMP IPv6 multicast neighbor add attempt [Priority: 3]                    |     0     |    292 (+29200%)    |       0 (0%)        |
|            PROTOCOL-SCADA Cogent DataHub server-side information disclosure [Priority: 1]             |     3     |      3 (0.0%)       |     0 (-100.0%)     |
|            SERVER-APACHE Apache SSI error page cross-site scripting attempt [Priority: 1]             |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                SERVER-APACHE Apache Tomcat TroubleShooter servlet access [Priority: 2]                |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                     SERVER-APACHE Apache Tomcat server snoop access [Priority: 2]                     |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|        SERVER-APACHE Apache Tomcat servlet mapping cross site scripting attempt [Priority: 1]         |     4     |      4 (0.0%)       |     0 (-100.0%)     |
|       SERVER-APACHE Apache mod_proxy reverse proxy information disclosure attempt [Priority: 2]       |    863    |     863 (0.0%)      |     0 (-100.0%)     |
|                                 SERVER-IIS .cnf access [Priority: 2]                                  |    11     |      11 (0.0%)      |     0 (-100.0%)     |
|                  SERVER-IIS /SiteServer/Publishing/viewcode.asp access [Priority: 2]                  |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                          SERVER-IIS /exchange/root.asp access [Priority: 2]                           |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                          SERVER-IIS /exchange/root.asp attempt [Priority: 1]                          |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                         SERVER-IIS /iisadmpwd/aexp2.htr access [Priority: 2]                          |     1     |     0 (-100.0%)     |     0 (-100.0%)     |
|                            SERVER-IIS /msadc/samples/ access [Priority: 1]                            |     3     |      3 (0.0%)       |     0 (-100.0%)     |
|                           SERVER-IIS /scripts/samples/ access [Priority: 1]                           |    10     |     9 (-10.0%)      |     0 (-100.0%)     |
|                              SERVER-IIS ASP contents view [Priority: 1]                               |     3     |      3 (0.0%)       |     1 (-66.67%)     |
|                              SERVER-IIS CGImail.exe access [Priority: 2]                              |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                          SERVER-IIS CodeRed v2 root.exe access [Priority: 1]                          |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-IIS IISProtect access [Priority: 2]                               |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                       SERVER-IIS IISProtect siteadmin.asp access [Priority: 2]                        |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-IIS ISAPI .ida access [Priority: 2]                               |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-IIS ISAPI .idq access [Priority: 2]                               |    10     |      10 (0.0%)      |     0 (-100.0%)     |
|                              SERVER-IIS ISAPI .idq attempt [Priority: 1]                              |     6     |      6 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-IIS ISAPI .printer access [Priority: 2]                             |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                                SERVER-IIS JET VBA access [Priority: 2]                                |     2     |     1 (-50.0%)      |     0 (-100.0%)     |
|                           SERVER-IIS MS BizTalk server access [Priority: 2]                           |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                                SERVER-IIS MSProxy access [Priority: 2]                                |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|           SERVER-IIS Microsoft ASP.NET bad request denial of service attempt [Priority: 2]            |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|              SERVER-IIS Microsoft Windows IIS directory traversal attempt [Priority: 1]               |     3     |      3 (0.0%)       |    28 (+833.33%)    |
|     SERVER-IIS Microsoft Windows IIS5 NTLM and basic authentication bypass attempt [Priority: 1]      |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                    SERVER-IIS VP-ASP ShopDisplayProducts.asp access [Priority: 2]                     |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                               SERVER-IIS _mem_bin access [Priority: 2]                                |     6     |      6 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-IIS adctest.asp access [Priority: 2]                              |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                                 SERVER-IIS bdir access [Priority: 2]                                  |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                               SERVER-IIS bdir.htr access [Priority: 2]                                |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                                SERVER-IIS cmd.exe access [Priority: 1]                                |    24     |      24 (0.0%)      |     0 (-100.0%)     |
|                           SERVER-IIS codebrowser Exair access [Priority: 2]                           |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-IIS codebrowser SDK access [Priority: 2]                            |     4     |      4 (0.0%)       |     0 (-100.0%)     |
|                               SERVER-IIS ctss.idc access [Priority: 2]                                |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-IIS doctodep.btr access [Priority: 2]                              |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                                SERVER-IIS fpcount access [Priority: 2]                                |     4     |      4 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-IIS global.asa access [Priority: 2]                               |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                         SERVER-IIS httpodbc.dll access - nimda [Priority: 2]                          |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                               SERVER-IIS iisadmin access [Priority: 1]                                |     3     |      3 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-IIS iisadmpwd attempt [Priority: 1]                               |     5     |     4 (-20.0%)      |     0 (-100.0%)     |
|                              SERVER-IIS iissamples access [Priority: 1]                               |    28     |      28 (0.0%)      |     0 (-100.0%)     |
|                                SERVER-IIS jet vba access [Priority: 2]                                |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-IIS msadcs.dll access [Priority: 2]                               |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-IIS newdsn.exe access [Priority: 2]                               |     1     |      1 (0.0%)       |     0 (-100.0%)     |
